step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
37,1763810558.5028875,14.175875663757324,3.5859687328338623,7.49992036819458,2.602081060409546,0.4879053831100464,,,36.08830071273255,5.173459307642293,,,0.03125,0,2.4423975944519043,0,0.04611419141292572,0,0.01844567656517029,0.04611419141292572,4.317898164770233,4.314661979675293,8.630264745200492e-05,253.88332962989807,1.0083371774475605
38,1763810811.4122622,14.470804214477539,3.542001724243164,7.929065227508545,2.5776028633117676,0.4221346080303192,7.611531352996826,3.455163812637329,34.535981557435136,5.11002832238577,31.663471221923828,4.984747697950879,0.03125,0,2.6303932666778564,0,0.03968103229999542,0,0.01587241291999817,0.03968103229999542,4.015686886841212,4.007141590118408,3.7196961660407286e-05,252.9093747138977,1.0122202875618926
39,1763812710.915959,14.276373863220215,3.579411268234253,7.73514986038208,2.5752856731414795,0.3865269720554352,,,35.85242716977237,5.163998885983632,,,0.03125,0,2.4072422981262207,0,0.033645667135715485,0,0.013458266854286194,0.033645667135715485,4.051010414471075,4.0376200675964355,0.00011052200105021833,252.71929383277893,1.0129816212979443
40,1763812963.5102825,14.461533546447754,3.509648323059082,7.998408794403076,2.5362093448638916,0.41726797819137573,7.43646650314331,3.4513597965240477,33.4365068675944,5.063352230941605,31.543254852294922,4.9792596627687855,0.0312500037252903,0,2.533869743347168,0,0.02803625911474228,0,0.011214503645896913,0.02803625911474228,3.96604663718258,3.955047845840454,0.0002954485977752324,252.59432363510132,1.0134827905706167
41,1763814866.1966946,14.076593399047852,3.524343967437744,7.705049514770508,2.5735814571380615,0.27361834049224854,,,33.93150614003718,5.084553564209368,,,0.03125,0,2.407484292984009,0,0.022878922522068024,0,0.00915156900882721,0.022878922522068024,3.3866632590020185,3.3815858364105225,4.753612504628724e-05,255.533207654953,1.0018267384866757
42,1763815122.6342564,14.015512466430664,3.5698940753936768,7.625358581542969,2.603950262069702,0.2163090705871582,7.264157915115357,3.440977191925049,35.51283126972239,5.150268479069349,31.217445373535156,4.964280730602299,0.03125,0,2.3928475379943848,0,0.018197715282440186,0,0.007279086112976074,0.018197715282440186,2.9894366638757717,2.983717679977417,0.00013429086538325238,256.437561750412,0.9982936908796619
43,1763817017.2639883,13.870636940002441,3.5261878967285156,7.540971755981445,2.6016294956207275,0.20184779167175293,,,33.99413115839748,5.087213791852914,,,0.03125,0,2.2665443420410156,0,0.014014475047588348,0,0.0056057900190353395,0.014014475047588348,2.798818001248757,2.791247606277466,0.00010721218553251798,253.2707438468933,1.0107760419211962
44,1763817272.1122332,13.854103088378906,3.5209643840789795,7.576215744018555,2.61368727684021,0.14323566854000092,7.198311758041382,3.433388829231262,33.81702534420737,5.079677856057407,30.98145294189453,4.953333037375506,0.03125,0,2.426152229309082,0,0.010348699986934662,0,0.004139479994773865,0.010348699986934662,2.6252913990740843,2.621563196182251,0.00010678093439524444,254.83261489868164,1.0045809878055936
45,1763819195.7961133,14.101181030273438,3.619863271713257,7.73061466217041,2.6194522380828857,0.13125000894069672,,,37.33246306936418,5.2223587907968145,,,0.03125,0,2.4522228240966797,0,0.007217489182949066,0,0.0028869956731796265,0.007217489182949066,2.3048090395577554,2.294218063354492,0.00023842645249820356,270.32691407203674,0.9470015254632808
46,1763819465.6631286,13.859883308410645,3.4546711444854736,7.68350887298584,2.600071430206299,0.12163254618644714,7.149011325836182,3.42959303855896,31.647879391131422,4.984036928051393,30.86408042907715,4.947856868996324,0.03125,0,2.4666481018066406,0,0.004635423421859741,0,0.0018541693687438967,0.004635423421859741,2.2641939912693387,2.254190683364868,0.0001263967236896498,269.8513855934143,0.9486703188017562
47,1763821365.0903203,13.859342575073242,3.4685471057891846,7.679656028747559,2.593660831451416,0.11747909337282181,,,32.09008506003021,5.004055708611824,,,0.03125,0,2.424044609069824,0,0.002614550292491913,0,0.0010458201169967652,0.002614550292491913,2.0434814494254554,2.0381665229797363,5.948274841834436e-05,255.3915684223175,1.0023823479429688
48,1763821615.7430065,13.737195014953613,3.5262575149536133,7.506481647491455,2.5972800254821777,0.10717524588108063,7.119987535476684,3.4273924350738527,33.99649785185401,5.087314229721017,30.796236038208008,4.944682069261396,0.03125,0,2.6724143028259277,0,0.0011643022298812866,0,0.00046572089195251465,0.0011643022298812866,2.012639224221162,2.009592294692993,0.0003030332352198774,250.6526861190796,1.021333559052226
49,1763823527.639276,13.87243938446045,3.4141106605529785,7.727789878845215,2.600987434387207,0.12955106794834137,,,30.38991045977368,4.925520519025925,,,0.03125,0,2.4901504516601562,0,0.00029142946004867554,0,0.00011657178401947021,0.00029142946004867554,2.2415467214113383,2.2325387001037598,0.002212366252677033,257.08480429649353,0.9957803639952113
50,1763823787.5383203,13.959708213806152,3.4939303398132324,7.750199317932129,2.623145818710327,0.09243342280387878,7.165424489974976,3.426989698410034,32.91506118553288,5.040675974460041,30.783838272094727,4.9441010430737204,0.03125,0,2.39233136177063,0,0.0,0,0.0,0.0,1.942607122216887,1.9381437301635742,6.650442671359205e-05,259.8990442752838,0.9849978506609899
